id,title,release_date,overview,poster_path,vote_average,popularity
950396,The Gorge,2025-02-13,"Two highly trained operatives grow close from a distance after being sent to guard opposite sides of a mysterious gorge. When an evil below emerges, they must work together to survive what lies within.",/7iMBZzVZtG0oBug4TfqDb9ZxAOa.jpg,7.822,2462.807
1126166,Flight Risk,2025-01-22,"A U.S. Marshal escorts a government witness to trial after he's accused of getting involved with a mob boss, only to discover that the pilot who is transporting them is also a hitman sent to assassinate the informant. After they subdue him, they're forced to fly together after discovering that there are others attempting to eliminate them.",/4cR3hImKd78dSs652PAkSAyJ5Cx.jpg,5.87,1501.8
939243,Sonic the Hedgehog 3,2024-12-19,"Sonic, Knuckles, and Tails reunite against a powerful new adversary, Shadow, a mysterious villain with powers unlike anything they have faced before. With their abilities outmatched in every way, Team Sonic must seek out an unlikely alliance in hopes of stopping Shadow and protecting the planet.",/d8Ryb8AunYAuycVKDp5HpdWPKgC.jpg,7.757,1172.898
822119,Captain America: Brave New World,2025-02-12,"After meeting with newly elected U.S. President Thaddeus Ross, Sam finds himself in the middle of an international incident. He must discover the reason behind a nefarious global plot before the true mastermind has the entire world seeing red.",/pzIddUEMWhWzfvLI3TwxUG2wGoi.jpg,6.203,946.019
1160956,Panda Plan,2024-10-01,"International action star Jackie Chan is invited to the adoption ceremony of a rare baby panda, but after an international crime syndicate attempts to kidnap the bear, Jackie has to save the bear using his stunt work skills.",/xVS9XiO9upp2SnWx6KpBYb79hLR.jpg,7.1,782.687
1084199,Companion,2025-01-22,"During a weekend getaway at a secluded lakeside estate, a group of friends finds themselves entangled in a web of secrets, deception, and advanced technology. As tensions rise and loyalties are tested, they uncover unsettling truths about themselves and the world around them.",/oCoTgC3UyWGfyQ9thE10ulWR7bn.jpg,7.04,726.788
1294203,My Fault: London,2025-02-12,"18-year-old Noah moves from America to London, with her mother who's recently fallen in love with William, a wealthy British businessman. Noah meets William’s son, bad-boy Nick, and soon discovers there is an attraction between them neither can avoid. As Noah spends the summer adjusting to her new life, her devastating past will catch up with her while falling in love for the first time.",/ttN5D6GKOwKWHmCzDGctAvaNMAi.jpg,7.5,658.036
539972,Kraven the Hunter,2024-12-11,"Kraven Kravinoff's complex relationship with his ruthless gangster father, Nikolai, starts him down a path of vengeance with brutal consequences, motivating him to become not only the greatest hunter in the world, but also one of its most feared.",/nrlfJoxP1EkBVE9pU62L287Jl4D.jpg,6.7,617.798
516729,Paddington in Peru,2024-11-08,"Paddington travels to Peru to visit his beloved Aunt Lucy, who now resides at the Home for Retired Bears. With the Brown Family in tow, a thrilling adventure ensues when a mystery plunges them into an unexpected journey through the Amazon rainforest and up to the mountain peaks of Peru.",/1ffZAucqfvQu36x1C49XfOdjuOG.jpg,6.811,528.653
774370,Dog Man,2025-01-24,"When a faithful police dog and his human police officer owner are injured together on the job, a harebrained but life-saving surgery fuses the two of them together and Dog Man is born. Dog Man is sworn to protect and serve—and fetch, sit and roll over. As Dog Man embraces his new identity and strives to impress his Chief, he must stop the pretty evil plots of feline supervillain Petey the Cat.",/89wNiexZdvLQ41OQWIsQy4O6jAQ.jpg,7.8,498.463
1247019,Death Whisperer 2,2024-10-10,"Three years after his sister's death, Yak relentlessly searches for the dark spirit that killed her in hopes of seeking revenge.",/uDW5eeFUYp1vaU2ymEdVBG6g7iq.jpg,7.027,457.729
1249289,Alarum,2025-01-16,"Two married spies caught in the crosshairs of an international intelligence network will stop at nothing to obtain a critical asset. Joe and Lara are agents living off the grid whose quiet retreat at a winter resort is blown to shreds when members of the old guard suspect the two may have joined an elite team of rogue spies, known as Alarum. Watch Here : https://justwatch.pro/movie/1249289/alarum",/v313aUGmMNj6yNveaiQXysBmjVS.jpg,5.8,443.24
549509,The Brutalist,2024-12-20,"Escaping post-war Europe, visionary architect László Toth arrives in America to rebuild his life, his work, and his marriage to his wife Erzsébet after being forced apart during wartime by shifting borders and regimes. On his own in a strange new country, László settles in Pennsylvania, where the wealthy and prominent industrialist Harrison Lee Van Buren recognizes his talent for building. But power and legacy come at a heavy cost.",/kItauiQa3jYG4qPLt2yWx6STDGh.jpg,7.1,418.979
1201012,Dhoom Dhaam,2025-02-13,"On their wedding night, an oddball couple is thrust into a chaotic chase, dodging goons and cops in a frenzied hunt for the mysterious ""Charlie.""",/2E7me3rPi8HqaeheuD86YlpNX6k.jpg,6.633,356.054
710295,Wolf Man,2025-01-15,"With his marriage fraying, Blake persuades his wife Charlotte to take a break from the city and visit his remote childhood home in rural Oregon. As they arrive at the farmhouse in the dead of night, they're attacked by an unseen animal and barricade themselves inside the home as the creature prowls the perimeter. But as the night stretches on, Blake begins to behave strangely, transforming into something unrecognizable.",/jTPBMPTgk9zOUGSkWcoOGbX8cTi.jpg,6.5,308.533
1255788,The Gardener,2025-01-30,"Every year the Prime Minister has a list of all kinds of troublemakers eliminated in the name of the famous Reason of State. Serge Shuster, Special Adviser to the President of the Republic, finds himself on this list, better known as the Matignon List.  Condemned to certain death and at the heart of an implacable plot and a state secret that also put his family in danger, Serge, his wife and children have only one hope left - their gardener, Léo, who hates it when « slugs » invade his garden... Especially those that want to kill innocent families.",/5T9WR7vIOnHm6xhVt5zBuPbBgt1.jpg,6.3,297.804
426063,Nosferatu,2024-12-25,"A gothic tale of obsession between a haunted young woman and the terrifying vampire infatuated with her, causing untold horror in its wake.",/5qGIxdEO841C0tdY8vOdLoRVrr0.jpg,6.677,252.473
1352774,Piglet,2025-01-25,"On Kate's 21st birthday camping trip, her friends encounter Piglet, a monstrous human-pig hybrid who brutally murders one of them. They uncover Piglet's origins and Kate must confront her past to survive the relentless killer.",/5wZNFUJAwyX6RCxdqrLO9lLWJ20.jpg,5.7,244.971
970450,Werewolves,2024-12-04,"A year after a supermoon’s light activated a dormant gene, transforming humans into bloodthirsty werewolves and causing nearly a billion deaths, the nightmare resurfaces as the supermoon rises again. Two scientists attempt to stop the mutation but fail and must now struggle to reach one of their family homes.",/cRTctVlwvMdXVsaYbX5qfkittDP.jpg,6.2,226.551
933260,The Substance,2024-09-07,"A fading celebrity decides to use a black market drug, a cell-replicating substance that temporarily creates a younger, better version of herself.",/cGm2qnmXx9tFabmzEIkJZjCJdQd.jpg,7.132,224.742
